iter	Passed	Remaining
891	16174	1958
892	16191	1940
893	16207	1921
894	16225	1903
895	16242	1885
896	16260	1867
897	16278	1848
898	16296	1830
899	16315	1812
900	16333	1794
901	16351	1776
902	16368	1758
903	16385	1740
904	16402	1721
905	16419	1703
906	16436	1685
907	16454	1667
908	16473	1649
909	16490	1630
910	16508	1612
911	16525	1594
912	16543	1576
913	16561	1558
914	16579	1540
915	16597	1522
916	16615	1503
917	16632	1485
918	16649	1467
919	16666	1449
920	16684	1431
921	16701	1412
922	16719	1394
923	16736	1376
924	16754	1358
925	16785	1341
926	16803	1323
927	16821	1305
928	16838	1286
929	16855	1268
930	16872	1250
931	16890	1232
932	16907	1214
933	16926	1196
934	16943	1177
935	16961	1159
936	16979	1141
937	16996	1123
938	17014	1105
939	17031	1087
940	17050	1069
941	17069	1050
942	17086	1032
943	17103	1014
944	17120	996
945	17137	978
946	17155	960
947	17172	941
948	17190	923
949	17207	905
950	17224	887
951	17242	869
952	17259	851
953	17278	833
954	17296	815
955	17314	796
956	17332	778
957	17350	760
958	17366	742
959	17383	724
960	17401	706
961	17419	688
962	17436	669
963	17454	651
964	17471	633
965	17489	615
966	17507	597
967	17526	579
968	17545	561
969	17563	543
970	17581	525
971	17601	507
972	17619	488
973	17637	470
974	17654	452
975	17671	434
976	17689	416
977	17708	398
978	17726	380
979	17744	362
980	17761	344
981	17779	325
982	17797	307
983	17814	289
984	17831	271
985	17849	253
986	17866	235
987	17884	217
988	17903	199
989	17921	181
990	17940	162
991	17958	144
992	17976	126
993	17993	108
994	18010	90
995	18027	72
996	18045	54
997	18063	36
998	18081	18
999	18099	0
